Планшет Apple Ipad 9 64 Gb серебристый,32626,https://svetofor.info/images/thumbnails/300/300/detailed/287/planshet-apple-ipad-9-64-gb-serebristyj-1.jpg
Ноутбук Acer Extensa EX215-52 15.6 ' Intel Core i3 1005G1 12 Gb DDR4 1000+500 Gb HDD SSD Intel UHD Graphics 620 черный,53767,https://svetofor.info/images/thumbnails/300/300/detailed/235/noutbuk-acer-extensa-ex215-52-156-intel-core-i3-1005g1-12-gb-ddr4-1000500-gb-hdd-ssd-intel-uhd-graphics-620-chernyj-1.jpg
Ноутбук ASUS X540UB 15.6 ' Intel Core i3 7020U 4 Gb DDR4 1000+128 Gb HDD SSD Intel UHD Graphics 620 серебристый,39735,https://svetofor.info/images/thumbnails/300/300/detailed/235/noutbuk-asus-x540ub-156-intel-core-i3-7020u-4-gb-ddr4-1000128-gb-hdd-ssd-intel-uhd-graphics-620-serebristyj-1.jpg
Ноутбук Lenovo IdeaPad S340-15IIL 15.6 ' Intel Core i3 1005G1 12 Gb DDR4 1000+512 Gb HDD SSD Intel UHD Graphics 620 Abyss Blue,59770,https://svetofor.info/images/thumbnails/300/300/detailed/235/noutbuk-lenovo-ideapad-s340-15iil-156-intel-core-i3-1005g1-12-gb-ddr4-1000512-gb-hdd-ssd-intel-uhd-graphics-620-abyss-blue-1.jpg
Ноутбук ASUS TUF Dash F15 FX516PM-HN013 15.6 ' Intel Core i5 11300H 16 Gb DDR4 512 Gb SSD GeForce RTX 3060,133722,https://svetofor.info/images/thumbnails/300/300/detailed/251/noutbuk-asus-tuf-dash-f15-fx516pm-hn013-156-intel-core-i5-11300h-16-gb-ddr4-512-gb-ssd-geforce-rtx-3060-1.jpg
Ноутбук HP Europe EliteBook 850 G7 15.6 ' Core i5 10210U 8 Gb 256 Gb Graphics UHD серебристый,90447,https://svetofor.info/images/thumbnails/300/300/detailed/236/noutbuk-hp-europe-elitebook-850-g7-156-core-i5-10210u-8-gb-256-gb-graphics-uhd-serebristyj-2-1.jpg
"Жесткий диск Dell Hot-plug Drive, 14G 2 Tb",17896,https://svetofor.info/images/thumbnails/300/300/detailed/235/zhestkij-disk-dell-hot-plug-drive-14g-2-tb-1.jpg
Ноутбук Lenovo V14 14 ' Intel Celeron N4020 4 Gb DDR4 240 Gb SSD Intel UHD Graphics 600 серый,28537,https://svetofor.info/images/thumbnails/300/300/detailed/286/noutbuk-lenovo-v14-14-intel-celeron-n4020-4-gb-ddr4-240-gb-ssd-intel-uhd-graphics-600-seryj-1.jpg
Наушники SmartBuy RUSH Cruiser SBHG-9300 black/blue,2400,https://svetofor.info/images/thumbnails/300/300/detailed/296/naushniki-smartbuy-rush-cruiser-sbhg-9300-blackblue-1.jpg
Проводная мышь Thermaltake M100 I CAFÉ черная,1957,https://svetofor.info/images/thumbnails/300/300/detailed/286/provodnaja-mysh-thermaltake-m100-i-cafÉ-chernaja-1.jpg
Клавиатура SmartBuy SBK-305U-K,1091,https://svetofor.info/images/thumbnails/300/300/detailed/286/klaviatura-smartbuy-sbk-305u-k-1.jpg
Видеокарта GALAX GeForce RTX 2080 SUPER EX 1-Click OC 8 ГБ,70750,https://svetofor.info/images/thumbnails/300/300/detailed/218/videokarta-galax-geforce-rtx-2080-super-ex-1-click-oc-8-gb-1.jpg
Ноутбук ASUS X515M 15.6 ' Intel Celeron N4020 8 Gb DDR4 128 Gb SSD Intel UHD Graphics 600 серебристый,35140,https://svetofor.info/images/thumbnails/300/300/detailed/280/noutbuk-asus-x515m-156-intel-celeron-n4020-8-gb-ddr4-128-gb-ssd-intel-uhd-graphics-600-serebristyj-1.jpg
Проводная мышь Sven RX-G970 черная,1658,https://svetofor.info/images/thumbnails/300/300/detailed/286/provodnaja-mysh-sven-rx-g970-chernaja-1.jpg
Беспроводная мышь Sven RX-510SW черная,911,https://svetofor.info/images/thumbnails/300/300/detailed/286/besprovodnaja-mysh-sven-rx-510sw-chernaja-1.jpg
